tld	type	unicode
.msd	generic	.msd
.mt	country-code	.mt
.mtn	generic	.mtn
.mtr	generic	.mtr
.mu	country-code	.mu
.museum	sponsored	.museum
.music	generic	.music
.mv	country-code	.mv
.mw	country-code	.mw
.mx	country-code	.mx
.my	country-code	.my
.mz	country-code	.mz
.na	country-code	.na
.nab	generic	.nab
.nagoya	generic	.nagoya
.name	generic-restricted	.name
.navy	generic	.navy
.nba	generic	.nba
.nc	country-code	.nc
.ne	country-code	.ne
.nec	generic	.nec
.net	generic	.net
.netbank	generic	.netbank
.netflix	generic	.netflix
.network	generic	.network
.neustar	generic	.neustar
.new	generic	.new
.news	generic	.news
.next	generic	.next
.nextdirect	generic	.nextdirect
.nexus	generic	.nexus
.nf	country-code	.nf
.nfl	generic	.nfl
.ng	country-code	.ng
.ngo	generic	.ngo
.nhk	generic	.nhk
.ni	country-code	.ni
.nico	generic	.nico
.nike	generic	.nike
.nikon	generic	.nikon
.ninja	generic	.ninja
.nissan	generic	.nissan
.nissay	generic	.nissay
.nl	country-code	.nl
.no	country-code	.no
.nokia	generic	.nokia
.norton	generic	.norton
.now	generic	.now
.nowruz	generic	.nowruz
.nowtv	generic	.nowtv
.np	country-code	.np
.nr	country-code	.nr
.nra	generic	.nra
.nrw	generic	.nrw
.ntt	generic	.ntt
.nu	country-code	.nu
.nyc	generic	.nyc
.nz	country-code	.nz
.obi	generic	.obi
.observer	generic	.observer
.office	generic	.office
.okinawa	generic	.okinawa
.olayan	generic	.olayan
.olayangroup	generic	.olayangroup
.ollo	generic	.ollo
.om	country-code	.om
.omega	generic	.omega
.one	generic	.one
.ong	generic	.ong
.onl	generic	.onl
.online	generic	.online
.ooo	generic	.ooo
.open	generic	.open
.oracle	generic	.oracle
.orange	generic	.orange
.org	generic	.org
.organic	generic	.organic
.origins	generic	.origins
.osaka	generic	.osaka
.otsuka	generic	.otsuka
.ott	generic	.ott
.ovh	generic	.ovh
.pa	country-code	.pa
.page	generic	.page
.panasonic	generic	.panasonic
.paris	generic	.paris
.pars	generic	.pars
.partners	generic	.partners
.parts	generic	.parts
.party	generic	.party
.pay	generic	.pay
.pccw	generic	.pccw
.pe	country-code	.pe
.pet	generic	.pet
.pf	country-code	.pf
.pfizer	generic	.pfizer
.pg	country-code	.pg
.ph	country-code	.ph
.pharmacy	generic	.pharmacy
.phd	generic	.phd
.philips	generic	.philips
.phone	generic	.phone
.photo	generic	.photo
.photography	generic	.photography
.photos	generic	.photos
.physio	generic	.physio
.pics	generic	.pics
.pictet	generic	.pictet
.pictures	generic	.pictures
.pid	generic	.pid
.pin	generic	.pin
.ping	generic	.ping
.pink	generic	.pink
.pioneer	generic	.pioneer
.pizza	generic	.pizza
.pk	country-code	.pk
.pl	country-code	.pl
.place	generic	.place
.play	generic	.play
.playstation	generic	.playstation
.plumbing	generic	.plumbing
.plus	generic	.plus
.pm	country-code	.pm
.pn	country-code	.pn
.pnc	generic	.pnc
.pohl	generic	.pohl
.poker	generic	.poker
.politie	generic	.politie
.porn	generic	.porn
.post	sponsored	.post
.pr	country-code	.pr
.praxi	generic	.praxi
.press	generic	.press
.prime	generic	.prime
.pro	generic-restricted	.pro
.prod	generic	.prod
.productions	generic	.productions
.prof	generic	.prof
.progressive	generic	.progressive
.promo	generic	.promo
.properties	generic	.properties
.property	generic	.property
.protection	generic	.protection
.pru	generic	.pru
.prudential	generic	.prudential
.ps	country-code	.ps
.pt	country-code	.pt
.pub	generic	.pub
.pw	country-code	.pw
.pwc	generic	.pwc
.py	country-code	.py
.qa	country-code	.qa
.qpon	generic	.qpon
.quebec	generic	.quebec
.quest	generic	.quest
.racing	generic	.racing
.radio	generic	.radio
.re	country-code	.re
.read	generic	.read
.realestate	generic	.realestate
.realtor	generic	.realtor
.realty	generic	.realty
.recipes	generic	.recipes
.red	generic	.red
.redumbrella	generic	.redumbrella
.rehab	generic	.rehab
.reise	generic	.reise
.reisen	generic	.reisen
.reit	generic	.reit
.reliance	generic	.reliance
.ren	generic	.ren
.rent	generic	.rent
.rentals	generic	.rentals
.repair	generic	.repair
.report	generic	.report
.republican	generic	.republican
.rest	generic	.rest
.restaurant	generic	.restaurant
.review	generic	.review
.reviews	generic	.reviews
.rexroth	generic	.rexroth
.rich	generic	.rich
.richardli	generic	.richardli
.ricoh	generic	.ricoh
.ril	generic	.ril
.rio	generic	.rio
.rip	generic	.rip
.ro	country-code	.ro
.rocks	generic	.rocks
.rodeo	generic	.rodeo
.rogers	generic	.rogers
.room	generic	.room
.rs	country-code	.rs
.rsvp	generic	.rsvp
.ru	country-code	.ru
.rugby	generic	.rugby
.ruhr	generic	.ruhr
.run	generic	.run
.rw	country-code	.rw
.rwe	generic	.rwe
.ryukyu	generic	.ryukyu
.sa	country-code	.sa
.saarland	generic	.saarland
.safe	generic	.safe
.safety	generic	.safety
.sakura	generic	.sakura
.sale	generic	.sale
.salon	generic	.salon
.samsclub	generic	.samsclub
.samsung	generic	.samsung
.sandvik	generic	.sandvik
.sandvikcoromant	generic	.sandvikcoromant
.sanofi	generic	.sanofi
.sap	generic	.sap
.sarl	generic	.sarl
.sas	generic	.sas
.save	generic	.save
.saxo	generic	.saxo
.sb	country-code	.sb
.sbi	generic	.sbi
.sbs	generic	.sbs
.sc	country-code	.sc
.scb	generic	.scb
.schaeffler	generic	.schaeffler
.schmidt	generic	.schmidt
.scholarships	generic	.scholarships
.school	generic	.school
.schule	generic	.schule
.schwarz	generic	.schwarz
.science	generic	.science
.scot	generic	.scot
.sd	country-code	.sd
.se	country-code	.se
.search	generic	.search
.seat	generic	.seat
.secure	generic	.secure
.security	generic	.security
.seek	generic	.seek
.select	generic	.select
.sener	generic	.sener
.services	generic	.services
.seven	generic	.seven
.sew	generic	.sew
.sex	generic	.sex
.sexy	generic	.sexy
.sfr	generic	.sfr
.sg	country-code	.sg
