name	sex	count
Doyle	m	23048
Drake	m	34693
Draven	m	6821
Drew	f	7627
Drew	m	75209
Duane	m	104824
Dudley	m	7666
Duke	m	8787
Dulce	f	18409
Duncan	m	18439
Dustin	m	206208
Dusty	m	10482
Dwain	m	6818
Dwaine	m	3925
Dwayne	m	75093
Dwight	m	70133
Dylan	f	14002
Dylan	m	384185
Dylon	m	4424
Eamon	m	4164
Ean	m	5920
Earl	m	162537
Earle	m	5246
Earlene	f	11357
Earline	f	10386
Earnest	m	36209
Earnestine	f	12356
Easton	m	60257
Eboni	f	6509
Ebony	f	38866
Ed	m	13694
Eddie	f	8506
Eddie	m	175468
Eddy	m	12901
Eden	f	38195
Eden	m	7627
Edgar	m	112378
Edgardo	m	5829
Edison	m	9256
Edith	f	99358
Edmond	m	16527
Edmund	m	30818
Edna	f	94138
Edson	m	3513
Eduardo	m	104448
Edward	m	902364
Edwardo	m	6364
Edwin	m	173760
Edwina	f	11620
Effie	f	10306
Efrain	m	17763
Efren	m	7677
Eileen	f	144130
Elaina	f	26191
Elaine	f	214332
Elana	f	8362
Elbert	m	18461
Elden	m	3599
Eldon	m	16249
Eleanor	f	155145
Eleazar	m	5142
Elena	f	81504
Eli	m	125999
Elia	f	6914
Elian	m	7800
Eliana	f	46732
Elianna	f	7963
Elias	m	88596
Elida	f	6588
Eliezer	m	7015
Elijah	m	314095
Elinor	f	9995
Eliot	m	6841
Elisa	f	41874
Elisabeth	f	40987
Elise	f	64143
Eliseo	m	9383
Elisha	f	13964
Elisha	m	12057
Elissa	f	17221
Eliza	f	44154
Elizabeth	f	1296611
Elizabeth	m	4136
Ella	f	220299
Elle	f	15546
Ellen	f	202917
Elliana	f	17210
Ellie	f	72600
Elliot	m	45300
Elliott	m	47411
Ellis	m	31092
Elma	f	7825
Elmer	m	48782
Elmo	m	3971
Elnora	f	8413
Eloise	f	35169
Elouise	f	6318
Eloy	m	7394
Elroy	m	4797
Elsa	f	23760
Elsie	f	58373
Elton	m	14510
Elva	f	13651
Elvia	f	6757
Elvin	m	14296
Elvira	f	14422
Elvis	m	15674
Elwood	m	9964
Ely	m	3769
Elyse	f	19465
Elyssa	f	7035
Emanuel	m	44408
Ember	f	13145
Emelia	f	9612
Emely	f	20491
